,Unnamed: 0,Unnamed: 0.1,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,race,avg_income,ajc_precinct,county,dem_votes,precinct,rep_votes,total,rep_p,dem_p,_merge
1,1.0,1.0,906458.0,1.42,489.0,063RD02,063RD02,RD02,RIVERDALE 2,31.0,CLAYTON,63.0,black,48828.0,RIVERDALE 2,CLAYTON,100.0,RIVERDALE 2,498.0,601.0,0.828618968386,0.166389351082,both
2,2.0,2.0,906514.0,1.25,460.0,063JB12,063JB12,JB12,JONESBORO 12,31.0,CLAYTON,63.0,black,52807.0,JONESBORO 12,CLAYTON,86.0,JONESBORO 12,424.0,512.0,0.828125,0.16796875,both
3,3.0,3.0,906550.0,1.38,499.0,063RD12,063RD12,RD12,RIVERDALE 12,31.0,CLAYTON,63.0,black,56430.0,RIVERDALE 12,CLAYTON,100.0,RIVERDALE 12,508.0,609.0,0.834154351396,0.164203612479,both
4,4.0,4.0,865539.0,2.71,1527.0,121SC212,121SC212,SC212,SC212,60.0,FULTON,121.0,black,49669.0,SC212,FULTON,124.0,SC212,467.0,591.0,0.790186125212,0.209813874788,both
5,5.0,5.0,865657.0,1.93,1424.0,121FA01B,121FA01B,FA01B,FA01B,60.0,FULTON,121.0,black,49669.0,FA01B,FULTON,28.0,FA01B,98.0,127.0,0.771653543307,0.220472440945,both
6,6.0,6.0,856612.0,15.12,1423.0,121FA01A,121FA01A,FA01A,FA01A,60.0,FULTON,121.0,black,60801.0,FA01A,FULTON,333.0,FA01A,1299.0,1636.0,0.794009779951,0.203545232274,both
7,7.0,7.0,4914136.0,2.82,1659.0,1352,1352,2,ROCKBRIDGE A,67.0,GWINNETT,135.0,black,66640.0,ROCKBRIDGE A,GWINNETT,160.0,ROCKBRIDGE A,477.0,637.0,0.748822605965,0.251177394035,both
8,8.0,8.0,4914201.0,3.08,1732.0,13575,13575,75,ROCKBRIDGE C,67.0,GWINNETT,135.0,black,68494.0,ROCKBRIDGE C,GWINNETT,237.0,ROCKBRIDGE C,775.0,1012.0,0.76581027668,0.23418972332,both
9,9.0,9.0,848913.0,11.04,1469.0,121PA01,121PA01,PA01,PA01,60.0,FULTON,121.0,white,45172.0,PA01,FULTON,109.0,PA01,357.0,468.0,0.762820512821,0.232905982906,both
11,11.0,11.0,1060127.0,1.93,465.0,063JB17,063JB17,JB17,JONESBORO 17,31.0,CLAYTON,63.0,black,43596.0,JONESBORO 17,CLAYTON,143.0,JONESBORO 17,682.0,827.0,0.824667472793,0.172914147521,both
